publication,category,language,website,email,phone,fax,address,city,province_state,zip_postal_code,country,subscribe,facebook,twitter,instagram,youtube
Poodle Variety,dog_publications,,www.poodlevariety.com,,,,,,,,,,,,,
Pug Talk,dog_publications,,www.pugtalk.com,,,,,,,,,,,,,
Sheltie International,dog_publications,,www.sheltieinternational.com,,,,,,,,,,,,,
Sheltie Pacesetter,dog_publications,,www.sheltie.com,,,,,,,,,,,,,
Show Dog Magazine,dog_publications,,www.showdog-magazine.com,,,,,,,,,,,,,
ShowDogs Online,dog_publications,,www.showdogsonline.com,,,,,,,,,,,,,
Spaniel Journal,dog_publications,,www.spanieljournal.com,,,,,,,,,,,,,
Sporting Dog Online,dog_publications,,www.sporting-dog.com,,,,,,,,,,,,,
The Basenji,dog_publications,,www.thebasenji.com,,,,,,,,,,,,,
The Canine Chronicle,dog_publications,,www.caninechronicles.com,,,,,,,,,,,,,
The Retriever Journal,dog_publications,,www.retrieverjournal.com,,,,,,,,,,,,,
The Shih-Tzu Reporter,dog_publications,,www.fix.net/~dogmag/shihtzu/shihtzu-home.html,,,,,,,,,,,,,
Whole Dog Journal,dog_publications,,www.whole-dog-journal.com,,,,,,,,,,,,,
Workingdogs.com,dog_publications,,www.workingdogs.com,,,,,,,,,,,,,
Yorkshire Terrier Magazine,dog_publications,,www.armory.com~terrier,,,,,,,,,,,,,
Reptiles,reptile_publications,,www.reptilechannel.com,,,,,,,,,,,,,
Reptilia,reptile_publications,,www.reptilia.net,,,,,,,,,,,,,
Reptilian,reptile_publications,,www.cviewmedia.com,,,,,,,,,,,,,
Boards Mag,advertising_&_marketing_publications,english,www.boardsmag.com,,,,,,,,USA,,,,,
AdCritic.com,advertising_&_marketing_publications,english,www.adcritic.com,,,,,,,,USA,,,,,
AdNews,advertising_&_marketing_publications,english,www.adnews.com.au/contact.cfm,,,,,,,,Australia,,,,,
Advertising & Marketing Review,advertising_&_marketing_publications,english,www.ad-mkt-review.com,,,,,,,,USA,,,,,
Advertising Age,advertising_&_marketing_publications,english,www.adage.com,,,,,,,,USA,,,,,
Adweek,advertising_&_marketing_publications,english,www.adweek.com,,,,,,,,USA,,,,,
American Demographics,advertising_&_marketing_publications,english,www.adage.com/americandemographics,,,,,,,,USA,,,,,
B&T,advertising_&_marketing_publications,english,www.bandt.com.au/default.asp,,,,,,,,Australia,,,,,
B2B Marketing,advertising_&_marketing_publications,english,www.b2bm.biz,,,,,,,,UK,,,,,
Brand Packaging,advertising_&_marketing_publications,english,www.brandpackaging.com,,,,,,,,USA,,,,,
Brand Republic,advertising_&_marketing_publications,english,www.brandrepublic.com/home,,,,,,,,UK,,,,,
Branding Asia,advertising_&_marketing_publications,,www.brandingasia.com,,,,,,,,Asia,,,,,
Brandweek,advertising_&_marketing_publications,english,www.brandweek.com,,,,,,,,USA,,,,,
BtoB,advertising_&_marketing_publications,english,www.btobonline.com,,,,,,,,USA,,,,,
Business 2.0,advertising_&_marketing_publications,english,http://money.cnn.com/magazines/business2,,,,,,,,USA,,,,,
Business Solutions,advertising_&_marketing_publications,,www.bsminfo.com,,,,,,,,,,,,,
Call Center Magazine,advertising_&_marketing_publications,english,www.callcentermagazine.com,,,,,,,,USA,,,,,
Call Centre Managers Forum,advertising_&_marketing_publications,english,www.callcentres.com.au/?linkedfrom=www.callcentrevoice.com,,,,,,,,Australia,,,,,
Campaign,advertising_&_marketing_publications,english,www.campaignlive.co.uk,,,,,,,,USA,,,,,
CampaignStreet,advertising_&_marketing_publications,english,www.campaignstreet.com,,,,,,,,USA,,,,,
CAP Online,advertising_&_marketing_publications,english,http://jyanet.com/cap,,,,,,,,Australia,,,,,
Catalog Success,advertising_&_marketing_publications,english,http://catalogsuccess.com,,,,,,,,USA,,,,,
Chief Marketer,advertising_&_marketing_publications,english,http://chiefmarketer.com,,,,,,,,USA,,,,,
Circulation Management,advertising_&_marketing_publications,english,www.circman.com,,,,,,,,USA,,,,,
ClickZ,advertising_&_marketing_publications,english,www.clickz.com,,,,,,,,USA,,,,,
CMO Magazine,advertising_&_marketing_publications,english,www.cmomagazine.com,,,,,,,,USA,,,,,
Communication Arts,advertising_&_marketing_publications,english,www.commarts.com,,,,,,,,USA,,,,,
Contagious,advertising_&_marketing_publications,english,www.contagiousmagazine.com,,,,,,,,USA,,,,,
Corporate Event,advertising_&_marketing_publications,english,www.exhibitoronline.com/about/index.asp,,,,,,,,USA,,,,,
Creative Magazine,advertising_&_marketing_publications,english,www.creativemag.com/homepage.html,,,,,,,,USA,,,,,
CRM Magazine,advertising_&_marketing_publications,english,www.destinationcrm.com,,,,,,,,USA,,,,,
Customer Inter@ction Solutions,advertising_&_marketing_publications,english,www.tmcnet.com/call-center,,,,,,,,USA,,,,,
Database Marketing,advertising_&_marketing_publications,english,www.dmarket.co.uk,,,,,,,,UK,,,,,
Deliver,advertising_&_marketing_publications,english,http://delivermagazine.com,,,,,,,,USA,,,,,
Digital Transactions,advertising_&_marketing_publications,english,www.digitaltransactions.net/index.cfm?pageid=3,,,,,,,,USA,,,,,
DIRECT,advertising_&_marketing_publications,english,www.directmag.com,,,,,,,,USA,,,,,
DMNews,advertising_&_marketing_publications,english,www.dmnews.com,,,,,,,,USA,,,,,
DRTV Quarterly,advertising_&_marketing_publications,english,www.drtv.ca,,,,,,,,Canada,,,,,
eMarketer,advertising_&_marketing_publications,english,www.emarketer.com,,,,,,,,USA,,,,,
eMarketing+Commerce (eM+C),advertising_&_marketing_publications,english,www.emarketingandcommerce.com,,,,,,,,USA,,,,,
Event,advertising_&_marketing_publications,english,www.eventmagazine.co.uk/home/index.cfm,,,,,,,,UK,,,,,
Exhibitor,advertising_&_marketing_publications,english,www.exhibitoronline.com/exhibitormagazine/index.asp,,,,,,,,USA,,,,,
Expo,advertising_&_marketing_publications,english,www.expoweb.com,,,,,,,,USA,,,,,
iMedia Connection,advertising_&_marketing_publications,english,www.imediaconnections.com,,,,,,,,USA,,,,,
Incentive Magazine,advertising_&_marketing_publications,english,www.managesmarter.com/msg/publications/incentive.jsp,,,,,,,,USA,,,,,
Inside Branded Entertainment,advertising_&_marketing_publications,english,"www.insidebrandedentertainment.com/bep/index.jsp?zxtmsessid=4459230781,pi",,,,,,,,USA,,,,,
Inside Direct Mail,advertising_&_marketing_publications,english,www.insidedirectmail.com,,,,,,,,USA,,,,,
Internet Retailer,advertising_&_marketing_publications,english,www.internetretailer.com,,,,,,,,USA,,,,,
Journal of Empirical Gnerealizations in Marketing Science,advertising_&_marketing_publications,english,www.empgens.com,,,,,,,,USA,,,,,
Journal of Vacation Marketing,advertising_&_marketing_publications,english,http://jvm.sagepub.com,,,,,,,,USA,,,,,
Key Findings,advertising_&_marketing_publications,english,www.sausageresearch.com/keyfindings_marketplan.htm,,,,,,,,USA,,,,,
KidScreen,advertising_&_marketing_publications,english,www.kidscreen.com,,,,,,,,USA,,,,,
Li©ense,advertising_&_marketing_publications,english,www.licensemag.com/licensemag,,,,,,,,USA,,,,,
Li©ense (UK),advertising_&_marketing_publications,english,www.licensemag.com/licensemag,,,,,,,,UK,,,,,
lore Magazine,advertising_&_marketing_publications,,www.loremagazine.com,,,,,,,,,,,,,
Lürzer's Archive,advertising_&_marketing_publications,english,www.luerzersarchive.us/luerzers-products.asp,,,,,,,,USA,,,,,
mad.co.uk,advertising_&_marketing_publications,english,www.mad.co.uk,,,,,,,,UK,,,,,
Marketing,advertising_&_marketing_publications,english,www.marketingmag.ca,,,,,,,,Canada,,,,,
Marketing,advertising_&_marketing_publications,english,www.brandrepublic.com/magazines/marketing/index.cfm,,,,,,,,UK,,,,,
Marketing Clout,advertising_&_marketing_publications,english,www.marketinguk.co.uk,,,,,,,,UK,,,,,
Marketing Direct,advertising_&_marketing_publications,english,www.brandrepublic.com/discipline/directmarketing,,,,,,,,UK,,,,,
Marketing Sherpa,advertising_&_marketing_publications,english,www.marketingsherpa.com,,,,,,,,USA,,,,,
Marketing Today,advertising_&_marketing_publications,english,www.marketingtoday.com,,,,,,,,USA,,,,,
MarketingNPV,advertising_&_marketing_publications,english,http://marketingnpv.com,,,,,,,,USA,,,,,
MarketingVOX,advertising_&_marketing_publications,english,www.marketingvox.com/index.php,,,,,,,,USA,,,,,
Mature Market,advertising_&_marketing_publications,english,www.thematuremarket.co.uk/uk/index.php,,,,,,,,UK,,,,,
Media,advertising_&_marketing_publications,english,http://publications.mediapost.com/index.cfm,,,,,,,,USA,,,,,
Media,advertising_&_marketing_publications,mandarin,www.media.com/hk/news/index.cfm,,,,,,,,Singapore,,,,,
Media Life,advertising_&_marketing_publications,english,www.medialifemagazine.com,,,,,,,,USA,,,,,
Medical Marketing & Media,advertising_&_marketing_publications,english,www.mmm-online.com/content/index.php,,,,,,,,USA,,,,,
Meetings & Conventions,advertising_&_marketing_publications,english,www.meetings-conventions.com,,,,,,,,USA,,,,,
Multichannel Merchant,advertising_&_marketing_publications,english,www.multichannelmerchant.com,,,,,,,,USA,,,,,
Networking Times,advertising_&_marketing_publications,english,www.networkingtimes.com,,,,,,,,USA,,,,,
O'Dwyer's PR Report,advertising_&_marketing_publications,,www.odwyerpr.com,,,,,,,,,,,,,
OMMA,advertising_&_marketing_publications,english,www.mediapost.com/publications/index.cfm?fuseaction=Archives.showArchive&art_type=101&archive_year=2007,,,,,,,,USA,,,,,
paidContent.org,advertising_&_marketing_publications,english,www.paidcontent.org,,,,,,,,USA,,,,,
POPbuyer,advertising_&_marketing_publications,english,www.popbuyer.co.uk/index.asp,,,,,,,,UK,,,,,
Potentials,advertising_&_marketing_publications,english,www.potentialsmag.com/msg/publications/potentials.jsp,,,,,,,,USA,,,,,
PR News,advertising_&_marketing_publications,english,www.prandmarketing.com,,,,,,,,USA,,,,,
Practical Ecommerce,advertising_&_marketing_publications,english,www.practicalecommerce.com,,,,,,,,USA,,,,,
Presentations,advertising_&_marketing_publications,english,www.managesmarter.com/msg/presentations/index.jsp,,,,,,,,USA,,,,,
Promo,advertising_&_marketing_publications,english,www.promomagazine.com,,,,,,,,USA,,,,,
Promotions & Incentives,advertising_&_marketing_publications,english,www.haymarket.com/sector/incentives_and_travel/default.asp,,,,,,,,UK,,,,,
PRReport,advertising_&_marketing_publications,german,www.prreport.de,,,,,,,,Germany,,,,,
PRWeek,advertising_&_marketing_publications,english,www.prweek.com/us,,,,,,,,USA,,,,,
PRWeek,advertising_&_marketing_publications,english,www.prweek.com/uk,,,,,,,,UK,,,,,
Quirk's Marketing Research Review,advertising_&_marketing_publications,english,www.quirks.com,,,,,,,,USA,,,,,
RainToday,advertising_&_marketing_publications,english,www.raintoday.com,,,,,,,,USA,,,,,
ReBrand,advertising_&_marketing_publications,english,www.rebrand.com,,,,,,,,USA,,,,,
Response,advertising_&_marketing_publications,english,www.responsemagazine.com,,,,,,,,USA,,,,,
Reveries,advertising_&_marketing_publications,english,http://reveries.com,,,,,,,,USA,,,,,
Sales & Marketing Management,advertising_&_marketing_publications,english,www.managesmarter.com/msg/publications/smm.jsp,,,,,,,,USA,,,,,
Selling Power,advertising_&_marketing_publications,english,www.sellingpower.com,,,,,,,,USA,,,,,
Smart Meetings,advertising_&_marketing_publications,,www.smartmeetings.com,,,,,,,,,,,,,
Strategy Magazine,advertising_&_marketing_publications,english,www.strategymag.com,,,,,,,,Canada,,,,,
Succesfful Meetings,advertising_&_marketing_publications,english,www.mimegasite.com/mimegasite/index.jsp,,,,,,,,USA,,,,,
Succesful Promotions,advertising_&_marketing_publications,,www.successfulpromotions.com,,,,,,,,,,,,,
Target Marketing,advertising_&_marketing_publications,english,www.targetmarketingmag.com,,,,,,,,USA,,,,,
The Hub,advertising_&_marketing_publications,english,www.hubmagazine.com,,,,,,,,USA,,,,,
The Wise Marketer,advertising_&_marketing_publications,english,www.thewisemarketer.com,,,,,,,,UK,,,,,
Trade-Show Advisor.com,advertising_&_marketing_publications,english,www.trade-show-advisor.com,,,,,,,,USA,,,,,
trendwatching.com,advertising_&_marketing_publications,english,www.trendwatching.com,,,,,,,,USA,,,,,
Website Magazine,advertising_&_marketing_publications,english,www.websitemagazine.com,,,,,,,,,,,,,
1099,career_publications,,www.1099.com,,,,,,,,,,,,,
Best Jobs USA,career_publications,,www.bestjobsusa.com,,,,,,,,USA,,,,,
Black EOE Journal,career_publications,,www.blackeoejournal.com,,,,,,,,,,,,,
Brave New Work World,career_publications,,www.newwork.com,,,,,,,,,,,,,
Canada Employment Weekly,career_publications,,www.mediacorp2.com/index.html,,,,,,,,Canada,,,,,
Career Connection,career_publications,,www.careerconnection.com,,,,,,,,,,,,,
Career Journal,career_publications,,www.careerjournal.com,,,,,,,,,,,,,
Career Magazine,career_publications,,www.careermag.com,,,,,,,,USA,,,,,
Career Options,career_publications,,www.careeroptionsmagazine.com,,,,,,,,Canada,,,,,
Career World,career_publications,,www.weeklyreader.com,,,,,,,,,,,,,
CareerSource Magazine,career_publications,,www.careersourcemagazine.com,,,,,,,,,,,,,
Contract Employment Weekly,career_publications,,www.ceweekly.com,,,,,,,,,,,,,
Diversity Careers,career_publications,,www.diversitycareers.com,,,,,,,,,,,,,
Employment & Business Opportunities,career_publications,,www.ebom.com,,,,,,,,,,,,,
Employment Review Magazine,career_publications,,www.employmentreview.com,,,,,,,,,,,,,
Equal Opportunity,career_publications,,www.eop.com,,,,,,,,,,,,,
GI Jobs,career_publications,,www.gijobs.net,,,,,,,,UK,,,,,
Hard@Work,career_publications,,www.hardatwork.com,,,,,,,,,,,,,
Jugglezine,career_publications,,www.jugglezine.com,,,,,,,,,,,,,
McCrone Healthbeat,career_publications,,www.mccronehealthbeat.com,,,,,,,,Canada,,,,,
Minority Career Network,career_publications,,www.minoritycareernews.com,,,,,,,,,,,,,
My Career,career_publications,,www.mycareermagazine.com,,,,,,,,Canada,,,,,
Pathfinder International,career_publications,,www.pathfinderinternational.co.uk,,,,,,,,UK,,,,,
Science Mag,career_publications,,www.sciencecareers.sciencemag.org,,,,,,,,USA,,,,,
Social Worker,career_publications,,www.socialworker.com/career.htm,,,,,,,,USA,,,,,
Strive Magazine,career_publications,,www.strivemag.com,,,,,,,,,,,,,
TalentEgg,career_publications,,www.talentegg.ca,,,,,,,,Canada,,,,,
The American Employment Weekly,career_publications,,www.occ.com/occ/profiles/aew.htm,,,,,,,,,,,,,
The Employment Network,career_publications,,www.theemploymentnetwork.net,,,,,,,,,,,,,
Work Magazine,career_publications,,www.work-magazine.com,,,,,,,,,,,,,
Working for the Man.com,career_publications,,"www.workingfortheman,com",,,,,,,,,,,,,
Your Workplace,career_publications,,www.yourworkplace.ca,,,,,,,,Canada,,,,,
ABA Banking Journal,finance_publications,,www.ababj.com,,,,,,,,,,,,,
Abacus,finance_publications,,n/a,,,,,,,,,,,,,
Accounting Technology,finance_publications,,n/a,,,,,,,,,,,,,
Accoutning Today,finance_publications,,n/a,,,,,,,,,,,,,
American Agent & Broker,finance_publications,,www.agentandbroker.com,,,,,,,,US,,,,,
Bank Investment Consultant,finance_publications,,n/a,,,,,,,,,,,,,
Bank Systems & Technology,finance_publications,,www.banktech.com,,,,,,,,,,,,,
Banking Strategies,finance_publications,,n/a,,,,,,,,,,,,,
Barron's Magazine,finance_publications,,www.barrons.com,,,,,,,,US,,,,,
Benefits Selling,finance_publications,,www.benefitssellingmag.com,,,,,,,,,,,,,
Boomer Market Advisor,finance_publications,,www.boomermarketadvisor.com,,,,,,,,,,,,,
Business Finance,finance_publications,,www.businessfinancemag.com,,,,,,,,,,,,,
Business Xpansion Journal,finance_publications,,www.bxjonline.com,,,,,,,,,,,,,
Canadian Money Magazine,finance_publications,,www.canadianmoneymagazine.com,,,,,,,,Canada,,,,,
Cards & Payments,finance_publications,,n/a,,,,,,,,,,,,,
CFO,finance_publications,,www.cfo.com/magazine,,,,,,,,US,,,,,
CFO Asia,finance_publications,,www.cfoasia.com,,,,,,,,,,,,,
CFO Europe,finance_publications,,www.cfoeurope.com,,,,,,,,,,,,,
Chief Executive Magazine,finance_publications,,www.chiefexecutive.net,,,,,,,,,,,,,
Collections & Credit Risk,finance_publications,,www.collectionscreditrisk.com,,,,,,,,,,,,,
The Deal,finance_publications,,www.thedeal.com/newsweekly,,,,,,,,,,,,,
DOCUMENT,finance_publications,,www.dptmag.com,,,,,,,,,,,,,
The Economist,finance_publications,,www.economist.com,,,,,,,,,,,,,
Euromoney,finance_publications,,www.euromoney.com,,,,,,,,,,,,,
Financial Advisor,finance_publications,,www.fa-mag.com,,,,,,,,,,,,,
Financial Planning,finance_publications,,www.financial-planning.com,,,,,,,,,,,,,
Financial Week,finance_publications,,www.financialweek.com,,,,,,,,,,,,,
Futures,finance_publications,,www.futuresmag.com,,,,,,,,,,,,,
Investment Advisor,finance_publications,,www.investmentadvisor.com,,,,,,,,,,,,,
Kiplinger's Personal Finance,finance_publications,,www.kiplinger.com/magazine,,,,,,,,,,,,,
Life Insurance Selling,finance_publications,,www.lifeinsuranceselling.com,,,,,,,,,,,,,
lore Magazine,finance_publications,,n/a,,,,,,,,,,,,,
Money,finance_publications,,"www,money.cnn.com/magazines/monymag",,,,,,,,US,,,,,
Money.ca,finance_publications,,www.money.ca,,,,,,,,Canada,,,,,
MoneySense,finance_publications,,www.moneysense.ca,,,,,,,,Canada,,,,,
On Wall Street,finance_publications,,www.onwallstreet.com,,,,,,,,US,,,,,
Plan Sponsor,finance_publications,,www.plansponsor.com,,,,,,,,,,,,,
